"sex,age,unit,isced11,geo\time",2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,sex,from
"T,Y25-64,PC,ED3-8,AT",79.9,80.9,81.6,82.4,82.4,82.9,83.0,83.9,84.6,84.5,85.0,85.3,T,AT
"T,Y25-64,PC,ED3-8,BE",68.0,69.6,70.6,70.5,71.3,71.6,72.8,73.6,74.7,75.1,76.8,78.2,T,BE
"T,Y25-64,PC,ED3-8,BG",77.4,77.5,77.9,79.1,80.0,81.0,81.8,81.1,81.9,82.3,82.8,82.6,T,BG
"T,Y25-64,PC,ED3-8,CY",72.1,73.1,72.3,74.0,75.2,77.4,78.5,77.6,77.9,79.5,81.1,82.2,T,CY
"T,Y25-64,PC,ED3-8,CZ",90.5,90.9,91.4,91.9,92.3,92.5,92.8,93.2,93.2,93.4,93.8,93.9,T,CZ
"T,Y25-64,PC,ED3-8,DE",84.4,85.3,85.5,86.1,86.6,86.6,86.7,86.9,86.8,86.5,86.5,86.6,T,DE
"T,Y25-64,PC,ED3-8,DK",74.3,73.8,74.8,75.6,76.9,77.9,78.3,79.6,80.4,80.7,81.3,81.6,T,DK
"T,Y25-64,PC,ED3-8,EE",89.1,88.4,88.8,89.3,89.1,90.0,90.6,88.2,88.7,89.1,88.8,89.2,T,EE
"T,Y25-64,PC,ED3-8,EL",60.1,61.3,61.5,62.7,64.6,65.8,67.2,68.4,70.4,71.8,72.9,73.6,T,EL
"T,Y25-64,PC,ED3-8,ES",50.6,51.1,51.6,52.9,54.0,54.7,55.5,56.6,57.4,58.3,59.1,60.1,T,ES
"T,Y25-64,PC,ED3-8,FI",80.5,81.1,82.0,83.0,83.7,84.8,85.9,86.5,87.7,88.1,88.3,89.2,T,FI
"T,Y25-64,PC,ED3-8,FR",68.5,69.5,70.1,70.7,71.5,72.4,75.0,76.7,77.5,78.1,78.4,79.4,T,FR
"T,Y25-64,PC,ED3-8,HR",75.7,76.7,77.5,77.3,78.2,80.5,81.3,82.7,83.1,82.7,83.8,85.1,T,HR
"T,Y25-64,PC,ED3-8,HU",79.0,79.6,80.5,81.2,81.5,82.0,82.5,83.1,83.2,83.4,84.0,84.9,T,HU
"T,Y25-64,PC,ED3-8,IE",68.4,70.4,71.5,73.1,73.9,74.9,77.1,80.3,81.1,81.4,82.5,83.2,T,IE
"T,Y25-64,PC,ED3-8,IT",52.2,53.3,54.2,55.1,56.0,57.2,58.2,59.3,59.9,60.1,60.9,61.7,T,IT
"T,Y25-64,PC,ED3-8,LT",88.5,90.4,91.2,91.9,92.9,93.3,93.4,93.3,93.5,94.6,94.8,94.8,T,LT
"T,Y25-64,PC,ED3-8,LU",65.7,67.9,77.3,77.7,77.3,78.3,80.5,82.0,76.0,78.4,76.4,78.6,T,LU
"T,Y25-64,PC,ED3-8,LV",84.6,85.9,86.8,88.6,87.9,89.1,89.4,89.5,90.1,90.7,90.4,90.7,T,LV
"T,Y25-64,PC,ED3-8,MT",26.6,27.8,30.8,33.0,35.5,38.1,41.2,44.1,46.0,48.4,51.1,53.3,T,MT
"T,Y25-64,PC,ED3-8,NL",71.4,71.4,71.6,72.4,72.5,73.4,75.8,75.9,76.4,77.1,78.4,79.0,T,NL
"T,Y25-64,PC,ED3-8,PL",86.3,87.1,88.0,88.5,88.9,89.6,90.1,90.5,90.8,91.3,92.1,92.4,T,PL
"T,Y25-64,PC,ED3-8,PT",27.3,28.1,29.7,31.7,34.6,37.3,39.8,43.3,45.1,46.9,48.0,49.8,T,PT
"T,Y25-64,PC,ED3-8,RO",75.0,75.3,74.7,73.9,74.5,75.4,75.7,72.8,75.0,76.7,77.9,78.5,T,RO
"T,Y25-64,PC,ED3-8,SE",79.4,80.0,80.7,81.2,81.6,82.4,83.2,83.7,84.3,85.0,85.3,85.6,T,SE
"T,Y25-64,PC,ED3-8,SI",81.8,82.0,83.3,83.3,84.5,85.0,85.5,85.7,86.8,87.3,87.9,88.1,T,SI
"T,Y25-64,PC,ED3-8,SK",89.1,89.9,90.9,91.0,91.3,91.7,91.9,91.0,91.4,91.9,91.4,91.7,T,SK
"T,Y25-64,PC,ED3-8,UK",73.4,73.4,74.5,76.1,76.4,77.9,78.3,79.2,79.7,79.5,80.1,80.4,T,UK
