year,eu_fitness,ari
1999,0.4441210542258909,0.17367706919945727
2000,0.41561433314905827,0.12808683853459976
2001,0.43083382357331745,0.1442542787286064
2002,0.44114004262332984,0.1670741646291769
2003,0.4531825410267967,0.1670741646291769
2004,0.4466768584231246,0.0035523978685612287
2005,0.43006079108555595,0.09115499053286451
2006,0.4261367849318645,0.09249431387414703
2007,0.4231236914087118,0.0035523978685612287
2008,0.42164071498794864,0.009885931558935383
2009,0.40822346202092236,0.0024291497975708616
2010,0.38132207647181154,0.013084112149532685
2011,0.37804450617538016,-0.022053231939163476
2012,0.35996405163755857,-0.01621909066737566
2013,0.37140947928712015,-0.05646240299705648
2014,0.3649386030548569,-0.03861412324781802
2015,0.34525028742242714,-0.022053231939163476
2016,0.36323169541706923,-0.022053231939163476
2017,0.36683202375709595,-0.011090073032188242
