"unit,lcstruct,nace_r2,geo\time",2018 ,2017 ,2016 ,2012 ,2008 ,2004 ,2000 ,from,currency,aggr,code
"EUR,D11,B,AT",29.0 p,28.1,28.1,26.9,22.2,22.3,20.1,AT,EUR,D11,B
"EUR,D11,B,BE",30.9 ,30.2,29.5,30.3,,,17.7,BE,EUR,D11,B
"EUR,D11,B,BG",7.1 ,6.5,5.7,5.0,3.3,2.0,1.5,BG,EUR,D11,B
"EUR,D11,B,CZ",10.5 ,9.5,8.8,9.6,8.7,5.0,3.4,CZ,EUR,D11,B
"EUR,D11,B,DE",31.5 ,31.2,30.4,27.0,25.1,21.8,22.2,DE,EUR,D11,B
"EUR,D11,B,DK",44.3 ,44.7,44.8,45.9,33.7,34.1,29.2,DK,EUR,D11,B
"EUR,D11,B,EE",11.1 ,10.4,9.5,,6.9,3.9,2.9,EE,EUR,D11,B
"EUR,D11,B,EL",15.9 ,15.6,15.0,14.6,13.7,12.5,10.2,EL,EUR,D11,B
"EUR,D11,B,ES",23.3 ,23.9,23.6,22.6,16.7,14.7,13.2,ES,EUR,D11,B
"EUR,D11,B,FI",27.4 ,25.6,25.4,28.2,22.9,20.1,16.7,FI,EUR,D11,B
"EUR,D11,B,FR",26.2 ,25.1,24.5,21.9,22.1,,12.9,FR,EUR,D11,B
"EUR,D11,B,HR",9.7 ,10.5,11.0,9.6,10.4,8.0,,HR,EUR,D11,B
"EUR,D11,B,HU",8.3 ,7.6,6.8,6.9,6.3,4.4,3.3,HU,EUR,D11,B
"EUR,D11,B,IE",29.4 ,26.8,27.0,27.1,24.4,23.7,15.9,IE,EUR,D11,B
"EUR,D11,B,IT",31.3 ,30.8,30.6,30.3,23.9,20.5,14.4,IT,EUR,D11,B
"EUR,D11,B,LT",7.4 ,7.0,6.3,5.2,5.5,3.0,2.3,LT,EUR,D11,B
"EUR,D11,B,LU",26.3 ,25.9,26.4,23.8,,,16.9,LU,EUR,D11,B
"EUR,D11,B,LV",8 ,7.3,6.8,5.0,4.9,2.1,1.2,LV,EUR,D11,B
"EUR,D11,B,MT",6.8 ,6.8,6.8,,,,,MT,EUR,D11,B
"EUR,D11,B,NL",: n,46.1,48.9,46.5,45.2,34.9,30.3,NL,EUR,D11,B
"EUR,D11,B,PL",13 ,12.4,10.8,11.1,10.4,6.4,,PL,EUR,D11,B
"EUR,D11,B,PT",12.7 ,12.0,11.6,10.6,9.1,6.4,6.2,PT,EUR,D11,B
"EUR,D11,B,RO",: ,8.7,8.2,6.5,6.0,2.4,,RO,EUR,D11,B
"EUR,D11,B,SE",28.6 ,30.3,30.4,31.9,23.9,21.4,20.7,SE,EUR,D11,B
"EUR,D11,B,SI",18.8 ,17.8,18.6,16.3,15.5,11.7,9.3,SI,EUR,D11,B
"EUR,D11,B,SK",9.4 ,8.6,8.9,7.2,5.6,3.2,2.8,SK,EUR,D11,B
"EUR,D11,B,UK",35.9 ,33.2,36.1,32.5,30.3,22.4,24.6,UK,EUR,D11,B
